iter	Passed	Remaining
155	3890	21048
156	3905	20968
157	3921	20898
158	3937	20826
159	3953	20756
160	3969	20684
161	3984	20608
162	3999	20538
163	4017	20478
164	4035	20421
165	4051	20355
166	4066	20285
167	4083	20223
168	4099	20157
169	4115	20095
170	4133	20040
171	4149	19977
172	4166	19918
173	4181	19850
174	4197	19788
175	4213	19725
176	4230	19668
177	4248	19619
178	4264	19558
179	4279	19497
180	4297	19443
181	4312	19383
182	4328	19325
183	4344	19269
184	4361	19213
185	4377	19155
186	4393	19100
187	4409	19044
188	4425	18987
189	4442	18937
190	4462	18903
191	4478	18847
192	4494	18792
193	4510	18739
194	4525	18683
195	4541	18628
196	4557	18575
197	4572	18522
198	4587	18465
199	4603	18414
200	4618	18357
201	4633	18302
202	4647	18246
203	4663	18194
204	4678	18141
205	4694	18092
206	4708	18038
207	4725	17993
208	4740	17941
209	4755	17888
210	4770	17837
211	4785	17786
212	4801	17740
213	4816	17690
214	4831	17641
215	4845	17589
216	4861	17541
217	4876	17493
218	4897	17466
219	4916	17432
220	4937	17403
221	4957	17373
222	4977	17342
223	4996	17310
224	5017	17281
225	5043	17274
226	5071	17270
227	5099	17267
228	5133	17282
229	5164	17289
230	5192	17284
231	5221	17286
232	5251	17286
233	5285	17303
234	5314	17298
235	5341	17292
236	5369	17288
237	5398	17283
238	5420	17258
239	5440	17227
240	5460	17198
241	5482	17173
242	5503	17143
243	5522	17110
244	5543	17082
245	5564	17055
246	5585	17028
247	5604	16994
248	5630	16981
249	5664	16992
250	5698	17003
251	5731	17013
252	5751	16981
253	5771	16951
254	5792	16921
255	5812	16893
256	5833	16866
257	5854	16836
258	5874	16808
259	5901	16796
260	5924	16774
261	5944	16745
262	5965	16716
263	5985	16686
264	6009	16668
265	6031	16644
266	6053	16619
267	6074	16591
268	6095	16564
269	6115	16534
270	6135	16506
271	6156	16477
272	6176	16446
273	6195	16416
274	6216	16387
275	6239	16368
276	6258	16336
277	6279	16308
278	6300	16281
279	6319	16250
280	6339	16222
281	6360	16194
282	6380	16166
283	6402	16140
284	6423	16114
285	6443	16086
286	6464	16059
287	6484	16031
288	6505	16004
289	6524	15974
290	6545	15947
291	6565	15919
292	6585	15889
293	6606	15864
294	6634	15854
295	6679	15886
296	6734	15939
297	6781	15974
298	6826	16005
299	6871	16033
300	6922	16076
301	6965	16099
302	7005	16115
303	7044	16127
304	7081	16135
305	7108	16123
306	7135	16107
307	7162	16092
308	7187	16074
309	7218	16067
310	7243	16046
311	7270	16032
312	7297	16017
313	7337	16031
314	7391	16073
315	7419	16060
316	7445	16041
317	7469	16018
318	7494	15998
319	7520	15980
320	7552	15975
321	7585	15971
322	7620	15971
323	7666	15996
324	7719	16031
325	7753	16030
326	7796	16046
327	7834	16051
328	7869	16050
329	7891	16023
330	7909	15986
331	7931	15958
332	7954	15932
333	7971	15894
334	7988	15857
335	8009	15828
336	8025	15788
337	8040	15747
338	8057	15710
339	8072	15671
340	8087	15630
341	8104	15592
342	8120	15553
343	8135	15514
344	8156	15486
345	8176	15454
346	8191	15415
347	8208	15380
348	8225	15342
349	8254	15329
350	8281	15312
351	8309	15297
352	8337	15281
353	8370	15275
354	8400	15262
355	8423	15237
356	8439	15201
357	8454	15162
358	8471	15126
359	8486	15087
360	8501	15047
361	8516	15009
362	8537	14982
363	8555	14948
364	8569	14908
365	8584	14870
366	8600	14833
367	8616	14797
368	8635	14766
369	8652	14732
370	8667	14695
371	8684	14661
372	8699	14623
373	8714	14586
374	8731	14552
375	8747	14517
376	8763	14481
377	8779	14446
378	8795	14412
379	8811	14376
380	8830	14346
381	8844	14308
382	8859	14272
383	8874	14236
384	8890	14201
385	8906	14166
386	8921	14130
387	8936	14096
388	8952	14061
389	8967	14026
390	8982	13990
391	8998	13956
392	9014	13922
393	9031	13890
394	9046	13855
395	9061	13820
396	9076	13786
397	9092	13752
398	9107	13718
399	9129	13694
400	9146	13662
401	9162	13630
402	9178	13596
