iter	TotalF1	MultiClass
96	0.8005017575	0.4120420436
97	0.8000306069	0.4115678729
98	0.8008586272	0.4110601525
99	0.800923343	0.4106781819
100	0.8012402906	0.410053203
101	0.8032208113	0.4094247792
102	0.8048943138	0.4089068636
103	0.8046311688	0.4084641341
104	0.8052278137	0.4076574421
105	0.8050684291	0.4070613352
106	0.8055284865	0.4067261249
107	0.8064201353	0.4062932811
108	0.8072036735	0.4053054029
109	0.8083888921	0.4046908358
110	0.8094548905	0.4040638961
111	0.8092326752	0.4037078801
112	0.810813873	0.4031067444
113	0.8114884968	0.4025897177
114	0.8114690955	0.4022956422
115	0.8124070812	0.4018430331
116	0.8134009878	0.4014842335
117	0.8146337183	0.4008439243
118	0.8147478845	0.4001970575
119	0.8151481226	0.3998007564
120	0.8160777852	0.3994181142
121	0.8164894339	0.399050721
122	0.8162060214	0.3985564413
123	0.815870029	0.3980196229
124	0.8165148273	0.3972215594
125	0.817822513	0.3966824419
126	0.8176619	0.3962098165
127	0.8191451923	0.3954651113
128	0.8197032295	0.3949589312
129	0.8205299537	0.3940686035
130	0.8207826755	0.3935187081
131	0.821104988	0.3928953872
132	0.8215890083	0.392204234
133	0.8217944701	0.391433023
134	0.823240193	0.3908262975
135	0.8228900227	0.390495147
136	0.823239364	0.3898056555
137	0.8235072545	0.3892227855
138	0.824401271	0.3887582661
139	0.8254613323	0.3880676075
140	0.8261625532	0.3878679317
141	0.8271490757	0.3872345619
142	0.8277977247	0.3867705619
143	0.8270404762	0.3864011959
144	0.8269368573	0.3859658388
145	0.8267667354	0.3854904205
146	0.8280154231	0.38510955
147	0.8289798573	0.3843888309
148	0.8297225599	0.38391296
149	0.8298390746	0.3830948294
150	0.8301279061	0.3825540691
151	0.8307413062	0.3820420551
152	0.8311671842	0.3813904468
153	0.831507083	0.3810544535
154	0.832367505	0.380493835
155	0.832163979	0.3797838425
156	0.8325482679	0.3792491363
157	0.8326366484	0.3789788155
158	0.8331535234	0.3784628664
159	0.8333643518	0.3779559746
160	0.834116647	0.3774460496
161	0.8346970825	0.3769487918
162	0.835282025	0.3762787959
163	0.8363056397	0.3753926746
164	0.8370760744	0.3750380229
165	0.8372009242	0.3747004432
166	0.8369357396	0.3740203815
167	0.8379950738	0.3735883999
168	0.8382189353	0.3732834787
169	0.838819158	0.3728465418
170	0.8382810853	0.3724224715
171	0.8399559908	0.3718984745
172	0.8395845536	0.3710491594
173	0.8400230764	0.3707057616
174	0.8406726388	0.3701860224
175	0.841083883	0.3699287675
176	0.8413419034	0.369445267
177	0.8417060772	0.3688416226
178	0.8413549552	0.368115476
179	0.8425323402	0.3675509891
180	0.842629577	0.3670977142
181	0.8431477406	0.3666585529
182	0.8440746581	0.3662053912
183	0.8444718341	0.3657678404
184	0.8452107369	0.3652104255
185	0.8454120038	0.3649123384
186	0.8468067532	0.3645286985
187	0.8462338942	0.3639454589
188	0.8466353406	0.3636746643
189	0.8467355614	0.3631029925
190	0.8468433312	0.3627936303
191	0.847341943	0.3622133439
192	0.847593576	0.3617088859
193	0.8482989862	0.3611889391
194	0.8479191875	0.3606044015
195	0.8484595281	0.3602956552
196	0.8489369803	0.3598562441
197	0.8500394402	0.359158881
198	0.8508307858	0.3586650554
199	0.8512310158	0.3581373175
200	0.8506151612	0.3577767277
201	0.8505401506	0.3574397938
